driverId,week,hours-logged,miles-logged
323,48,58,2600
181,22,63,2400
338,22,53,3800
861,39,65,3700
851,24,52,500
141,50,50,3800
773,36,60,1500
182,1,62,3500
332,46,79,1900
630,34,53,2800
397,15,60,3800
776,42,68,200
238,22,53,3900
784,51,72,900
598,34,61,3100
870,30,74,1400
119,27,60,800
791,51,74,100
262,45,70,1800
26,10,54,2300
315,42,60,3000
130,6,71,2300
696,50,71,3200
750,30,71,2000
501,25,59,1500
186,3,68,1800
764,29,79,3700
143,41,59,2100
451,47,68,1500
244,18,52,3000
759,8,68,3400
40,48,65,3900
68,19,50,300
36,2,62,400
995,3,70,2800
128,22,69,0
17,51,80,2700
157,27,51,700
924,2,73,200
524,8,68,3400
788,11,72,0
81,4,63,0
86,19,78,3100
168,42,57,400
431,28,59,100
848,40,75,200
494,38,54,2700
702,5,56,2100
613,48,71,1400
207,22,79,3500
278,17,59,1300
490,31,67,3200
268,1,71,2300
928,32,58,1400
887,18,79,2300
633,25,60,2000
452,26,73,3200
306,14,63,1300
664,42,71,1100
588,26,56,900
524,21,63,1300
36,43,79,1200
921,5,50,300
750,41,71,1300
87,28,64,3200
974,16,71,2900
690,21,80,1500
816,47,51,1900
12,27,63,2800
931,46,60,2000
654,15,56,2700
760,37,79,900
71,36,69,200
751,29,59,3000
383,37,54,1100
882,34,50,2200
67,24,60,2800
418,44,66,1300
445,26,76,2700
952,9,69,2200
523,36,62,1200
178,15,68,1400
348,48,61,3300
909,1,70,2700
378,32,70,1100
598,7,80,500
947,29,76,3100
330,13,61,2300
41,9,69,3300
358,39,78,3400
631,18,71,2500
471,48,75,800
232,17,72,1300
716,37,66,1200
605,41,67,3000
253,2,63,1900
722,32,69,1800
118,20,60,1600
856,4,58,2900
590,27,78,1500
138,15,74,600
182,1,56,1800
809,14,55,500
983,22,54,2800
717,28,79,500
849,51,79,1800
549,22,76,3200
768,22,77,3500
931,17,80,1500
278,20,75,400
539,6,78,3000
670,24,67,3300
55,8,60,1700
305,50,72,3500
612,17,79,1100
152,52,74,2100
439,50,66,3000
214,28,69,2500
397,4,66,2400
303,21,65,2900
845,52,62,2500
856,22,74,3000
527,9,66,400
339,12,53,1500
823,14,79,4000
699,32,64,500
986,52,79,2300
404,28,62,500
664,49,72,1600
100,23,51,1900
33,30,51,2700
203,30,50,3700
